id,name,hp,mp,str,int,def,res,spd,luck,race,class,rarity
1,Dead Hand,40,20,5,3,2,2,8,5,15,5,3
2,Lynel,60,20,8,5,1,3,9,5,12,2,5
3,Stalfos,60,20,11,6,2,4,9,5,15,2,4
4,Darknuts,50,20,5,5,2,4,10,5,15,8,4
5,Guardian,120,20,3,3,3,1,9,5,17,3,5
6,Lizalfos,40,20,10,5,2,1,6,5,12,5,2
7,Skulltula,20,20,12,5,4,1,6,5,16,5,1
8,Golden Skulltula,30,20,12,5,1,4,8,5,16,5,3
9,Gibdo,20,20,10,5,2,4,8,5,15,5,2
10,Octorock,30,20,6,5,4,3,9,5,12,3,1
11,Deku Scrub,20,20,7,5,2,2,10,5,12,4,1
12,Bokoblin,25,20,10,9,2,2,7,5,12,2,1
